"name@Zagat","addr@Zagat","phone@Zagat","type@Zagat","name@Fodors","addr@Fodors","phone@Fodors","type@Fodors","Confidence"
"palm  the (los angeles)","9001 santa monica blvd. w. hollywood","310-550-8811","steakhouses","the palm","9001 santa monica blvd. los angeles","310-550-8811","american","60"
"valentino","3115 pico blvd. santa monica","310-829-4313","italian","valentino","3115 pico blvd. santa monica","310-829-4313","italian","100"
"yujean kang's","67 n. raymond ave. pasadena","818-585-0855","chinese","yujean kang's gourmet chinese cuisine","67 n. raymond ave. los angeles","818-585-0855","asian","70"
"21 club","21 w. 52nd st. new york city","212-582-7200","american (new)","21 club","21 w. 52nd st. new york","212-582-7200","american","100"
"aquavit","13 w. 54th st. new york city","212-307-7311","scandinavian","aquavit","13 w. 54th st. new york","212-307-7311","continental","100"
"aureole","34 e. 61st st. new york city","212-319-1660","american (new)","aureole","34 e. 61st st. new york","212-319-1660","american","100"
"cafe lalo","201 w. 83rd st. new york city","212-496-6031","coffeehouses","caf&eacute; lalo","201 w. 83rd st. new york","212-496-6031","coffee bar","60"
"cafe des artistes","1 w. 67th st. new york city","212-877-3500","french (classic)","caf&eacute; des artistes","1 w. 67th st. new york","212-877-3500","continental","64"
"carmine's","2450 broadway new york city","212-362-2200","italian","carmine's","2450 broadway  between 90th and 91st sts. new york","212-362-2200","italian","100"
"carnegie deli","854 seventh ave. new york city","212-757-2245","delis","carnegie deli","854 7th ave.  between 54th and 55th sts. new york","212-757-2245","delicatessen","100"
"chanterelle","2 harrison st. new york city","212-966-6960","french (new)","chanterelle","2 harrison st.  near hudson st. new york","212-966-6960","american","100"
"daniel","20 e. 76th st. new york city","212-288-0033","french (new)","daniel","20 e. 76th st. new york","212-288-0033","french","100"
"dawat","210 e. 58th st. new york city","212-355-7555","indian","dawat","210 e. 58th st. new york","212-355-7555","asian","100"
"felidia","243 e. 58th st. new york city","212-758-1479","italian","felidia","243 e. 58th st. new york","212-758-1479","italian","100"
"four seasons","99 e. 52nd st. new york city","212-754-9494","american (new)","four seasons grill room","99 e. 52nd st. new york","212-754-9494","american","70"
"gotham bar & grill","12 e. 12th st. new york city","212-620-4020","american (new)","gotham bar & grill","12 e. 12th st. new york","212-620-4020","american","100"
"gramercy tavern","42 e. 20th st. new york city","212-477-0777","american (new)","gramercy tavern","42 e. 20th st.  between park ave. s and broadway new york","212-477-0777","american","100"
"island spice","402 w. 44th st. new york city","212-765-1737","caribbean","island spice","402 w. 44th st. new york","212-765-1737","tel caribbean","100"
"jo jo","160 e. 64th st. new york city","212-223-5656","french bistro","jo jo","160 e. 64th st. new york","212-223-5656","american","100"
"la caravelle","33 w. 55th st. new york city","212-586-4252","french (classic)","la caravelle","33 w. 55th st. new york","212-586-4252","french","100"
"la cote basque","60 w. 55th st. new york city","212-688-6525","french (classic)","la cote basque","60 w. 55th st.  between 5th and 6th ave. new york","212-688-6525","french","100"
"le bernardin","155 w. 51st st. new york city","212-489-1515","seafood","le bernardin","155 w. 51st st. new york","212-489-1515","french","100"
"les celebrites","155 w. 58th st. new york city","212-484-5113","french (classic)","les c&eacute;l&eacute;brit&eacute;s","160 central park s new york","212-484-5113","french","64"
"lespinasse (new york city)","2 e. 55th st. new york city","212-339-6719","asian","lespinasse","2 e. 55th st. new york","212-339-6719","american","70"
"lutece","249 e. 50th st. new york city","212-752-2225","french (classic)","lut&egrave;ce","249 e. 50th st. new york","212-752-2225","french","60"
"manhattan ocean club","57 w. 58th st. new york city","212-371-7777","seafood","manhattan ocean club","57 w. 58th st. new york","212-371-7777","seafood","100"
"march","405 e. 58th st. new york city","212-754-6272","american (new)","march","405 e. 58th st. new york","212-754-6272","american","100"
"mesa grill","102 fifth ave. new york city","212-807-7400","southwestern","mesa grill","102 5th ave.  between 15th and 16th sts. new york","212-807-7400","american","100"
"mi cocina","57 jane st. new york city","212-627-8273","mexican","mi cocina","57 jane st.  off hudson st. new york","212-627-8273","mexican","100"
"montrachet","239 w. broadway new york city","212-219-2777","french bistro","montrachet","239 w. broadway  between walker and white sts. new york","212-219-2777","french","100"
"oceana","55 e. 54th st. new york city","212-759-5941","seafood","oceana","55 e. 54th st. new york","212-759-5941","seafood","100"
"park avenue cafe (new york city)","100 e. 63rd st. new york city","212-644-1900","american (new)","park avenue cafe","100 e. 63rd st. new york","212-644-1900","american","70"
"petrossian","182 w. 58th st. new york city","212-245-2214","russian","petrossian","182 w. 58th st. new york","212-245-2214","french","100"
"picholine","35 w. 64th st. new york city","212-724-8585","mediterranean","picholine","35 w. 64th st. new york","212-724-8585","mediterranean","100"
"pisces","95 ave. a new york city","212-260-6660","seafood","pisces","95 ave. a at 6th st. new york","212-260-6660","seafood","100"
"rainbow room","30 rockefeller plaza new york city","212-632-5000","american (new)","rainbow room","30 rockefeller plaza new york","212-632-5000 212-632-5100","american","40"
"river cafe","1 water st. brooklyn","718-522-5200","american (new)","river caf&eacute;","1 water st. at the east river brooklyn","718-522-5200","american","70"
"san domenico","240 central park s. new york city","212-265-5959","italian","san domenico","240 central park s new york","212-265-5959","italian","100"
"second avenue deli","156 second ave. new york city","212-677-0606","delis","second avenue deli","156 2nd ave. at 10th st. new york","212-677-0606","delicatessen","100"
"seryna","11 e. 53rd st. new york city","212-980-9393","japanese","seryna","11 e. 53rd st. new york","212-980-9393","asian","100"
"shun lee palace","155 e. 55th st. new york city","212-371-8844","chinese","shun lee west","43 w. 65th st. new york","212-371-8844","asian","70"
"sign of the dove","1110 third ave. new york city","212-861-8080","american (new)","sign of the dove","1110 3rd ave. at 65th st. new york","212-861-8080","american","100"
"smith & wollensky","797 third ave. new york city","212-753-1530","steakhouses","smith & wollensky","201 e. 49th st. new york","212-753-1530","american","100"
"tavern on the green","central park west new york city","212-873-3200","american (new)","tavern on the green","in central park at 67th st. new york","212-873-3200","american","100"
"teresa's","80 montague st. queens","718-520-2910","polish","teresa's","103 1st ave.  between 6th and 7th sts. new york","212-228-0604","east european","40"
"uncle nick's","747 ninth ave. new york city","212-245-7992","greek","uncle nick's","747 9th ave.  between 50th and 51st sts. new york","212-315-1726","mediterranean","40"
"union square cafe","21 e. 16th st. new york city","212-243-4020","american (new)","union square cafe","21 e. 16th st. new york","212-243-4020","american","100"
"virgil's real bbq","152 w. 44th st. new york city","212-921-9494","bbq","virgil's","152 w. 44th st. new york","212-921-9494","american","70"
"abruzzi","2355 peachtree rd. ne atlanta","404-261-8186","italian","abruzzi","2355 peachtree rd.  peachtree battle shopping center atlanta","404-261-8186","italian","100"
"bacchanalia","3125 piedmont rd. atlanta","404-365-0410","californian","bacchanalia","3125 piedmont rd.  near peachtree rd. atlanta","404-365-0410","international","100"
"bone's restaurant","3130 piedmont rd. ne atlanta","404-237-2663","steakhouses","bone's","3130 piedmont road atlanta","404-237-2663","american","70"
"brasserie le coze","3393 peachtree rd. atlanta","404-266-1440","french bistro","brasserie le coze","3393 peachtree rd.  lenox square mall  near neiman marcus atlanta","404-266-1440","french","100"
"buckhead diner","3073 piedmont rd. atlanta","404-262-3336","american (new)","buckhead diner","3073 piedmont road atlanta","404-262-3336","american","100"
"ciboulette restaurant","1529 piedmont ave. atlanta","404-874-7600","french (new)","ciboulette","1529 piedmont ave. atlanta","404-874-7600","french","70"
"delectables","1 margaret mitchell sq. atlanta","404-681-2909","cafeterias","delectables","1 margaret mitchell sq. atlanta","404-681-2909","american","100"
"georgia grille","2290 peachtree rd. atlanta","404-352-3517","southwestern","georgia grille","2290 peachtree rd.  peachtree square shopping center atlanta","404-352-3517","american","100"
"hedgerose heights inn  the","490 e. paces ferry rd. ne atlanta","404-233-7673","continental","hedgerose heights inn","490 e. paces ferry rd. atlanta","404-233-7673","international","70"
"heera of india","595 piedmont ave. atlanta","404-876-4408","indian","heera of india","595 piedmont ave.  rio shopping mall atlanta","404-876-4408","asian","100"
"indigo coastal grill","1397 n. highland ave. atlanta","404-876-0676","eclectic","indigo coastal grill","1397 n. highland ave. atlanta","404-876-0676","caribbean","100"
"la grotta","2637 peachtree rd. ne atlanta","404-231-1368","italian","la grotta","2637 peachtree rd.  peachtree house condominium atlanta","404-231-1368","italian","100"
"mary mac's tea room","224 ponce de leon ave. atlanta","404-876-1800","southern/soul","mary mac's tea room","224 ponce de leon ave. atlanta","404-876-1800","southern","100"
"nikolai's roof","255 courtland st. atlanta","404-221-6362","continental","nikolai's roof","255 courtland st.  at harris st. atlanta","404-221-6362","continental","100"
"pano's & paul's","1232 w. paces ferry rd. atlanta","404-261-3662","american (new)","pano's and paul's","1232 w. paces ferry rd. atlanta","404-261-3662","international","70"
"toulouse","293-b peachtree rd. atlanta","404-351-9533","french (new)","toulouse","b peachtree rd. atlanta","404-351-9533","french","100"
"veni vidi vici","41 14th st. atlanta","404-875-8424","italian","veni vidi vici","41 14th st. atlanta","404-875-8424","italian","100"
"steakhouse  the","128 e. fremont st. las vegas","702-382-1600","steakhouses","binion's coffee shop","128 fremont st. las vegas","702-382-1600","coffee shops/diners","60"
"bistro","45 45 s. mentor ave. pasadena","818-795-2478","californian","bistro","3400 las vegas blvd. s las vegas","702-791-7111","continental","40"
"chin's","3200 las vegas blvd. s. las vegas","702-733-8899","chinese","chin's","3200 las vegas blvd. s las vegas","702-733-8899","asian","100"
"coyote cafe (las vegas)","3799 las vegas blvd. s. las vegas","702-891-7349","southwestern","coyote caf&eacute;","3799 las vegas blvd. s las vegas","702-891-7349","southwestern","70"
"palace court","3570 las vegas blvd. s. las vegas","702-731-7110","french (new)","palace court","3570 las vegas blvd. s las vegas","702-731-7547","continental","40"
"steak house  the","2880 las vegas blvd. s. las vegas","702-734-0410","steakhouses","steak house","2880 las vegas blvd. s las vegas","702-734-0410","steak houses","70"
"tillerman  the","2245 e. flamingo rd. las vegas","702-731-4036","steakhouses","tillerman","2245 e. flamingo rd. las vegas","702-731-4036","seafood","70"
"alain rondelli","126 clement st. san francisco","415-387-0408","french (new)","alain rondelli","126 clement st. san francisco","415-387-0408","french","100"
"aqua","252 california st. san francisco","415-956-9662","american (new)","aqua","252 california st. san francisco","415-956-9662","seafood","100"
"boulevard","1 mission st. san francisco","415-543-6084","american (new)","boulevard","1 mission st. san francisco","415-543-6084","american","100"
"cafe claude","7 claude ln. san francisco","415-392-3505","french bistro","caf&eacute; claude","7 claude la. san francisco","415-392-3505","french","64"
"campton place","340 stockton st. san francisco","415-955-5555","american (new)","campton place","340 stockton st. san francisco","415-955-5555","american","100"
"chez michel","804 north point st. san francisco","415-775-7036","californian","chez michel","804 northpoint san francisco","415-775-7036","french","100"
"fleur de lys","777 sutter st. san francisco","415-673-7779","french (new)","fleur de lys","777 sutter st. san francisco","415-673-7779","french","100"
"fringale","570 fourth st. san francisco","415-543-0573","french bistro","fringale","570 4th st. san francisco","415-543-0573","french","100"
"hawthorne lane","22 hawthorne st. san francisco","415-777-9779","californian","hawthorne lane","22 hawthorne st. san francisco","415-777-9779","american","100"
"khan toke thai house","5937 geary blvd. san francisco","415-668-6654","thai","khan toke thai house","5937 geary blvd. san francisco","415-668-6654","asian","100"
"la folie","2316 polk st. san francisco","415-776-5577","french (new)","la folie","2316 polk st. san francisco","415-776-5577","french","100"
"lulu restaurant-bis-cafe","816 folsom st. san francisco","415-495-5775","mediterranean","lulu","816 folsom st. san francisco","415-495-5775","mediterranean","60"
"masa's","648 bush st. san francisco","415-989-7154","french (new)","masa's","648 bush st. san francisco","415-989-7154","french","100"
"mifune","1737 post st. san francisco","415-922-0337","japanese","mifune japan center  kintetsu building","1737 post st. san francisco","415-922-0337","asian","64"
"plumpjack cafe","3127 fillmore st. san francisco","415-563-4755","american (new)","plumpjack caf&eacute;","3201 fillmore st. san francisco","415-563-4755","mediterranean","70"
"postrio","545 post st. san francisco","415-776-7825","californian","postrio","545 post st. san francisco","415-776-7825","american","100"
"ritz-carlton dining room (san francisco)","600 stockton st. san francisco","415-296-7465","french (new)","ritz-carlton restaurant and dining room","600 stockton st. san francisco","415-296-7465","american","70"
"rose pistola","532 columbus ave. san francisco","415-399-0499","italian","rose pistola","532 columbus ave. san francisco","415-399-0499","italian","100"
"ritz-carlton dining room (buckhead)","3434 peachtree rd. ne atlanta","404-237-2700","american (new)","dining room  ritz-carlton  buckhead","3434 peachtree rd. atlanta","404-237-2700","international","60"
"ritz-carlton restaurant","181 peachtree st. atlanta","404-659-0400","french (classic)","restaurant  ritz-carlton  atlanta","181 peachtree st. atlanta","404-659-0400","continental","60"
